"dateTime","value__bpm","value__confidence"
"02/02/19 23:37:15","64","3"
"02/02/19 23:37:20","66","3"
"02/02/19 23:37:25","69","3"
"02/02/19 23:37:30","68","3"
"02/02/19 23:37:35","65","3"
"02/02/19 23:37:40","63","3"
"02/02/19 23:37:45","61","3"
"02/02/19 23:37:55","62","3"
"02/02/19 23:38:05","63","3"
"02/02/19 23:38:10","62","3"
"02/02/19 23:38:15","62","2"
"02/02/19 23:38:20","66","3"
"02/02/19 23:38:30","65","3"
"02/02/19 23:38:35","65","2"
"02/02/19 23:38:50","65","2"
"02/02/19 23:38:55","65","3"
"02/02/19 23:39:00","66","3"
"02/02/19 23:39:05","67","3"
"02/02/19 23:39:10","69","3"
"02/02/19 23:39:15","72","3"
"02/02/19 23:39:20","72","2"
"02/02/19 23:39:30","73","3"
"02/02/19 23:39:36","74","2"
"02/02/19 23:39:51","74","2"
"02/02/19 23:40:01","73","2"
"02/02/19 23:40:06","75","3"
"02/02/19 23:40:11","77","2"
"02/02/19 23:40:16","76","3"
"02/02/19 23:40:21","76","2"
"02/02/19 23:40:26","75","2"
"02/02/19 23:40:31","73","2"
"02/02/19 23:40:41","72","2"
"02/02/19 23:40:46","70","3"
"02/02/19 23:40:51","70","2"
"02/02/19 23:41:06","70","2"
"02/02/19 23:41:11","67","3"
"02/02/19 23:41:16","66","2"
"02/02/19 23:41:31","66","2"
"02/02/19 23:41:36","65","2"
"02/02/19 23:41:41","63","3"
"02/02/19 23:41:46","62","2"
"02/02/19 23:42:01","61","2"
"02/02/19 23:42:11","61","1"
"02/02/19 23:42:16","67","3"
"02/02/19 23:42:26","62","3"
"02/02/19 23:42:31","63","3"
"02/02/19 23:42:41","64","3"
"02/02/19 23:42:51","61","3"
"02/02/19 23:42:56","64","3"
"02/02/19 23:43:03","64","3"
"02/02/19 23:43:13","68","3"
"02/02/19 23:43:18","66","3"
"02/02/19 23:43:23","64","3"
"02/02/19 23:43:28","62","3"
"02/02/19 23:43:33","63","3"
"02/02/19 23:43:43","64","3"
"02/02/19 23:43:48","64","2"
"02/02/19 23:43:58","66","3"
"02/02/19 23:44:13","65","2"
"02/02/19 23:44:18","66","2"
"02/02/19 23:44:33","66","2"
"02/02/19 23:44:38","68","3"
"02/02/19 23:44:43","69","3"
"02/02/19 23:44:48","66","3"
"02/02/19 23:44:58","66","2"
"02/02/19 23:45:03","65","2"
"02/02/19 23:45:18","65","2"
"02/02/19 23:45:28","65","1"
"02/02/19 23:45:33","66","1"
"02/02/19 23:45:48","68","1"
"02/02/19 23:45:58","69","2"
"02/02/19 23:46:08","70","2"
"02/02/19 23:46:13","72","3"
"02/02/19 23:46:18","72","2"
"02/02/19 23:46:23","71","2"
"02/02/19 23:46:38","72","2"
"02/02/19 23:46:40","72","2"
"02/02/19 23:46:50","74","2"
"02/02/19 23:46:55","76","2"
"02/02/19 23:47:10","76","1"
"02/02/19 23:47:25","69","2"
"02/02/19 23:47:30","70","2"
"02/02/19 23:47:35","69","2"
"02/02/19 23:47:50","69","2"
"02/02/19 23:47:55","69","1"
"02/02/19 23:48:00","72","1"
"02/02/19 23:48:05","73","2"
"02/02/19 23:48:15","76","1"
"02/02/19 23:48:20","78","2"
"02/02/19 23:48:30","68","3"
"02/02/19 23:48:35","69","2"
"02/02/19 23:48:40","71","2"
"02/02/19 23:48:45","72","3"
"02/02/19 23:48:50","71","3"
"02/02/19 23:48:55","70","3"
"02/02/19 23:49:00","72","3"
"02/02/19 23:49:05","70","3"
"02/02/19 23:49:10","71","3"
"02/02/19 23:49:15","70","3"
"02/02/19 23:49:20","69","3"
"02/02/19 23:49:30","67","3"
"02/02/19 23:49:40","69","2"
"02/02/19 23:49:46","69","3"
"02/02/19 23:49:51","71","3"
"02/02/19 23:49:56","73","3"
"02/02/19 23:50:01","69","3"
"02/02/19 23:50:06","69","2"
"02/02/19 23:50:21","70","2"
"02/02/19 23:50:26","72","2"
"02/02/19 23:50:31","75","2"
"02/02/19 23:50:36","78","2"
"02/02/19 23:50:41","79","2"
"02/02/19 23:50:51","78","2"
"02/02/19 23:50:56","80","2"
"02/02/19 23:51:01","82","2"
"02/02/19 23:51:06","85","2"
"02/02/19 23:51:21","74","3"
"02/02/19 23:51:26","69","3"
"02/02/19 23:51:31","66","3"
"02/02/19 23:51:36","66","2"
"02/02/19 23:51:46","65","2"
"02/02/19 23:51:51","63","2"
"02/02/19 23:51:56","67","2"
"02/02/19 23:52:01","63","3"
"02/02/19 23:52:06","61","2"
"02/02/19 23:52:11","60","2"
"02/02/19 23:52:16","58","3"
"02/02/19 23:52:21","57","3"
"02/02/19 23:52:28","54","3"
"02/02/19 23:52:33","55","3"
"02/02/19 23:52:43","57","3"
"02/02/19 23:52:48","58","3"
"02/02/19 23:52:58","60","3"
"02/02/19 23:53:03","60","2"
"02/02/19 23:53:08","59","3"
"02/02/19 23:53:13","59","2"
"02/02/19 23:53:18","56","3"
"02/02/19 23:53:23","55","3"
"02/02/19 23:53:28","56","3"
"02/02/19 23:53:33","55","2"
"02/02/19 23:53:38","62","3"
"02/02/19 23:53:43","62","2"
"02/02/19 23:53:48","61","2"
"02/02/19 23:53:53","57","3"
"02/02/19 23:53:58","58","3"
"02/02/19 23:54:03","60","3"
"02/02/19 23:54:08","63","3"
"02/02/19 23:54:13","63","2"
"02/02/19 23:54:23","65","2"
"02/02/19 23:54:33","64","2"
"02/02/19 23:54:43","65","2"
"02/02/19 23:54:48","64","2"
"02/02/19 23:54:53","66","2"
"02/02/19 23:54:58","67","2"
"02/02/19 23:55:08","65","2"
"02/02/19 23:55:15","64","2"
"02/02/19 23:55:20","62","2"
"02/02/19 23:55:25","63","1"
"02/02/19 23:55:30","66","3"
"02/02/19 23:55:35","64","2"
"02/02/19 23:55:50","64","2"
"02/02/19 23:55:55","66","2"
"02/02/19 23:56:00","65","2"
"02/02/19 23:56:05","66","2"
"02/02/19 23:56:10","65","2"
"02/02/19 23:56:15","64","2"
"02/02/19 23:56:20","63","2"
"02/02/19 23:56:30","62","2"
"02/02/19 23:56:35","64","3"
"02/02/19 23:56:40","62","3"
"02/02/19 23:56:45","61","3"
"02/02/19 23:56:50","61","2"
"02/02/19 23:57:00","66","3"
"02/02/19 23:57:05","68","2"
"02/02/19 23:57:15","67","2"
"02/02/19 23:57:20","66","2"
"02/02/19 23:57:25","65","2"
"02/02/19 23:57:35","63","3"
"02/02/19 23:57:40","60","3"
"02/02/19 23:57:45","60","2"
"02/02/19 23:58:00","64","3"
"02/02/19 23:58:05","69","2"
"02/02/19 23:58:11","65","3"
"02/02/19 23:58:16","64","2"
"02/02/19 23:58:21","63","3"
"02/02/19 23:58:26","64","3"
"02/02/19 23:58:31","66","3"
"02/02/19 23:58:36","63","3"
"02/02/19 23:58:41","60","3"
"02/02/19 23:58:46","58","3"
"02/02/19 23:58:56","59","3"
"02/02/19 23:59:06","60","3"
"02/02/19 23:59:11","60","2"
"02/02/19 23:59:21","58","2"
"02/02/19 23:59:26","60","3"
"02/02/19 23:59:31","59","3"
"02/02/19 23:59:36","58","3"
"02/02/19 23:59:41","60","3"
"02/02/19 23:59:46","62","3"
"02/02/19 23:59:51","63","3"
